id,a,o,f,ZT
1,豆腐汤,还行,1,5
1,豆腐汤,有点老字号的味道,1,5
2,小吃店,种类多,1,5
2,老北京小吃,种类多,1,5
2,小吃店,味道不错,1,5
3,快餐厅,位置,2,2
4,快餐厅,人不多,2,3
4,快餐厅,餐桌不少,1,3
4,快餐厅,容纳很多人用餐,1,3
5,服务,没有,0,4
5,前台点餐,自己端,0,4
6,茄子盖饭,菜量大,1,5
6,茄子盖饭,吃饱没问题,1,5
7,老北京小吃,种类不少,1,5
7,价格,还可以,1,5
8,,吃晚饭,2,7
9,护国寺小吃店,改名为老北京小吃店,2,7
10,,原计划,2,7
11,稀食,都没有了,0,5
11,晚上七点想吃的豆汁等,都卖完了,0,5
12,一品香辣刀削牛肉面,只多浇了点儿辣椒油,0,5
13,油饼,真大,1,5
13,油饼,新出锅,1,5
13,油饼,费牙,0,5
14,特色小吃,各种,1,5
14,艾窝窝,有,1,5
14,糖油饼,有,1,5
14,蜜耳朵,有,1,5
14,驴打滚,有,1,5
15,豆汁配焦圈,最爱,1,5
15,豆腐脑配糖油饼,最爱,1,5
16,墩餑餑,圆圆的,1,5
16,墩餑餑,厚厚的,1,5
16,墩餑餑,浓浓的奶香味,1,5
16,墩餑餑,很有嚼劲,1,5
17,,出来觅食,2,2
18,周边早点铺,多,1,2
18,人,不少,0,2
18,医院里,挤,0,2
18,吃东西,人挨人,0,2
19,大众点评,搜索,2,2
19,附近,有护国寺小吃,1,2
20,上座率,10%,1,2
20,店里面,清净,1,2
20,时间,早上9点半,2,2
21,牛肉面,10点以后才有,0,5
21,,等不及,0,5
22,爆肚,有,1,5
22,烧饼夹牛肉,点了一份,1,5
22,烧饼夹牛肉,干干净净,1,5
22,烧饼夹牛肉,没浪费,1,5
23,门口,有永定门烤串,2,2
23,楼上,是虾吃虾涮,2,2
23,门帘儿,导致以为护国寺小吃都不开门,0,2
24,护国寺小吃,差劲,0,5
24,护国寺小吃,难吃,0,5
24,护国寺小吃,坑人,0,5
25,牛肉包子,是大葱包子,0,5
26,,葱切的,0,5
26,,馅儿,0,5
27,北京小吃,丢脸,0,5
27,护国寺的字号,配不上,0,5
28,面茶,又稀又油,0,5
28,面茶,犯恶心,0,5
29,椒盐,潮的,0,5
29,豆泡汤的豆泡,颜色都不一样,0,5
29,豆泡汤的豆泡,明显有省的,0,5
30,护国寺小吃,不能留遗憾,2,2
31,驴打滚,太失望,0,5
31,驴打滚,说不上特色,0,5
32,驴打滚,冻太久,0,5
32,驴打滚,皮的硬度,0,5
33,环境,桌子油油,0,3
33,环境,需要自己动手擦,0,3
34,黑椒牛柳盖饭,牛肉咬不动,0,5
34,黑椒牛柳盖饭,味道也不行,0,5
35,烤串,还可以,1,5
35,烤串,一串五块,2,5
35,烤串,肥肉比较多,0,5
36,,不太喜欢,0,7
36,,一般般,0,7
37,,没有了,0,7
38,宫爆鸡丁,味道还行,1,5
38,宫爆鸡丁,没几块肉,0,5
39,土豆丝,清脆爽口,1,5
39,豆汁,味道浓郁,1,5
39,豆汁,解渴去火好喝,1,5
40,宫保鸡丁盖饭,太差了,0,5
40,宫保鸡丁盖饭,不贵,1,5
40,宫保鸡丁盖饭,都是葱段和汤汁,0,5
40,宫保鸡丁盖饭,没啥菜,0,5
41,,吃过护国寺小吃,2,7
42,,离着友谊医院近,1,7
42,,这么差,0,7
43,桌子,没人收拾,0,3
43,,感觉就是私人作坊,0,3
44,,人多的都没地方坐,0,7
45,各种老北京小吃点心,味道都很好,1,5
45,炒饼,味道都很好,1,5
45,炒疙瘩盖饭面条,味道都很好,1,5
46,凉面,喜欢吃,1,5
46,面茶,喝,2,5
47,小吃,都要早买,2,5
47,小吃,都没有了,0,5
48,豆汁儿,酸酸的,2,5
48,豆汁儿,很棒,1,5
48,豆汁儿,不喜欢喝,0,5
49,门钉肉饼,可以,1,5
49,门钉肉饼,平时的肉饼,2,5
49,门钉肉饼,换了个形状,2,5
50,甄糕,枣子的甜,1,5
51,,饭后想喝面茶,2,7
51,,想去尹三,2,7
51,,找个护国寺凑合,2,7
51,,孕难啊,0,7
52,豆腐脑,味道很糟糕,0,5
52,鸡蛋饼,还可以,2,5
53,这个地方,不好停车,0,2
53,邮政所前停车位,可以停,1,2
54,饭店,整体干净,1,3
54,品种,很多,1,3
55,焦圈,必点,1,5
55,豆汁儿,必点,1,5
55,口味,不错,1,5
56,杏仁豆腐,味道不错,1,5
56,杏仁豆腐,推荐,1,5
57,老北京的小吃,不少,1,5
57,面茶,推荐,1,5
58,老字号小吃店,都是一个模子刻出来的,0,3
59,东西,大同小异,0,5
60,豆汁豌豆黄驴打滚焦圈糖饼面茶,都是这一套,0,5
61,护国寺小吃,位于烟火气息十足的留学路,2,2
62,餐饮小店,友谊医院门诊对面胡同内,2,2
63,豆汁,过度发酵的酸味,0,5
63,豆汁,可以接受,1,5
64,焦圈,不太好吃,0,5
64,焦圈,太油腻了,0,5
65,面茶,好喝,1,5
65,面茶,咸咸的,1,5
65,面茶,挺香,1,5
66,驴打滚,全场最佳,1,5
66,驴打滚,爱上,1,5
66,驴打滚,满满的红豆馅料,1,5
66,驴打滚,不是齁甜,1,5
66,驴打滚,喜欢糯叽叽,1,5
67,环境,干净明亮,1,3
68,服务,基本都是自助,2,4
68,服务,能用老年卡,1,4
69,口味,一次不如一次,0,5
69,厨子,估计换了,0,5
70,菜量,足足的,1,5
70,这边吃饭的地方,没什么,0,5
71,护国寺小吃,没服务,0,4
71,护国寺小吃,没品质,0,4
72,东西,统一配送,0,5
72,现出锅,没那种味道,0,5
73,豆泡汤,备好的调料,0,5
73,点完,直接冲,0,5
74,豆泡汤,没味道,0,5
74,豆泡汤,不咸不淡,0,5
75,油泼面,颜值还行,1,5
75,味道,和颜值搭配,1,5
76,小料台,自己添加,2,5
77,地点,在一个小区里,2,2
77,,共用一栋楼,2,2
78,环境,一般,0,3
78,环境,有点乱,0,3
79,交通管制,开不进去,0,7
79,司机,丢到地铁口,0,7
79,晚高峰,惨,0,7
80,护国寺小吃,口味销魂,1,5
80,凉粉,吃不下去,0,5
80,其他食物,战斗到最后,1,5
81,面茶,喜欢,1,5
81,一碗面茶一个油饼,不太饿,1,5
82,洗手液,再兑点,2,4
83,大门,路标指引,2,2
84,面茶,做得不错,1,5
84,炒饼,做得不错,1,5
84,面茶,老北京小吃的味道,1,5
85,菜品,花样多,1,5
85,小吃,花样多,1,5
85,价格,不贵,1,5
86,,有时间去,2,2
87,面茶,没有吃出来是什么做的,0,5
88,,没有吃下去剩了半碗,0,5
89,羊杂汤,也就那么回事,0,5
90,,要考虑好自己点自己爱吃的,2,7
91,豆汁,接受不了,0,5
91,豆汁,味道像发酵的酸菜水,0,5
92,豆汁,味道太上头,0,5
92,豆汁,一小口都下不起,0,5
93,豌豆黄,中规中矩,2,5
94,焦圈,脆脆的,1,5
94,焦圈,还行,2,5
95,粥,比较正常,1,5
95,粥,天天早上这么吃,0,5
96,豆汁,兑的跟白灰水似的,0,5
96,豆汁,刚从柜台没端到桌子就沉底儿了,0,5
97,炒饼,刀工不错,1,5
97,上菜,快,1,5
97,炒饼,饼也忒硬,0,5
97,炒饼,吃着都硌牙,0,5
98,老北京小吃店,没走多远就能看到,1,2
99,护国寺小吃,不好吃,0,5
99,护国寺小吃,贵,0,5
100,位置,靠里面,2,2
100,牛肉馄饨,好次,1,2
101,豌豆黄糖耳朵,吃不来,0,5
101,豌豆黄糖耳朵,吃不下,0,5
102,焦圈,还可以,1,5
102,牛肉饼,没有了,0,5
103,豆腐脑,早点去,2,5
103,阿姨,速度快,1,5
104,态度,太差,0,4
104,店员,跟一样,0,4
104,牌子,砸的,0,4
105,小吃,人还不少,2,2
106,甜,不友好,0,5
106,甜,腻,0,5
106,甜,恶心,0,5
107,,踩雷,0,7
108,奶油炸糕,奶油和鸡蛋加一点点的面糊,0,5
108,奶油炸糕,鸡蛋味道,0,5
109,青团豆沙馅,太腻,0,5
110,豌豆黄,单独吃还不错,1,5
110,豌豆黄,跟一桌子甜腻的东西,0,5
110,豌豆黄,吃不进去,0,5
111,豌豆黄,的确不错,1,5
111,甜度,喜欢吃,1,5
