ID,sentence,REP,UNQ,DIV,EMO,ZT
9,"20块5小串共10个,价格还算可以了。",0.1109,0.2727,0.25,0.125,1
19,"「mini糖葫芦」20块钱一盒,一盒五支。",0.1109,0.2727,0.25,0.0,1
23,"一看到糖葫芦就走不动了……大的8元一串,一盒20元5小串…",0.1294,0.2727,0.375,0.125,1
33,"打卡完成|小糖葫芦今天下班去新世界超市采购,结账出来时看见门口有卖网红小糖葫芦,任选5串20元,红红绿绿的很好看,买来尝尝。",0.1294,0.2727,0.375,0.25,1
40,"跟对面国瑞城里的葫芦比较起来,这里的量大实惠,最主要是新鲜,国瑞城的那个太贵了,孩子爱吃草莓的,每次去我们都会给他买．．．",0.2772,0.2727,0.625,0.3035714285714286,1
49,我以前三十八线小县城卖的都比这贵。,0.0554,0.2727,0.125,0.053571428571428575,1
56,"「冰糖橘子」七元一串,头是番茄尾是葫芦。",0.1109,0.2727,0.25,0.0,1
59,他家的冰糖葫芦真是我在北京吃过的最物美价廉的冰糖葫芦了。,0.0554,0.2727,0.125,0.125,1
73,"草莓糖葫芦,12块钱,一支草莓的价格等于两支山楂………好洋气的价位啊．",0.1109,0.2727,0.25,0.053571428571428575,1
79,"价格,普通的冰糖葫芦6元,别的都会贵一点,现在物价是真涨了,小时候才1-2块。",0.1663,0.2727,0.375,0.10714285714285715,1
94,"就是觉得过去一直买5块的,现在涨7块,有落差．",0.1109,0.2727,0.25,0.10714285714285715,1
7,"新世界地下一层,超市收银台出来就是,还有喇叭叫卖很好找。",0.2587,0.1924,0.5,0.125,2
12,"这家店在新世界百货B1楼,下楼走两步就能看见。",0.1109,0.2143,0.25,0.0,2
21,"这家店的地理位置得天独厚,就在新世界商场的地下一层,能找到新世界超市就能找到它。",0.1663,0.4286,0.375,0.125,2
29,"在新世界B1层,找到新世界超市就能找到它！",0.0,0.2143,0.125,0.0,2
32,"冰糖葫芦在冬天一定是必不可少的,这家在新世界地下一层超市旁边,很好找的．．．",0.0744,0.6429,0.375,0.25,2
44,"地址：崇文门百货地下一层离超市比较近,各种口味的都有,个人比较喜欢吃草莓口味的,草莓口味的比较好吃山楂口味的比较普通,在哪儿都可以买得到,没啥经验的山药的也还行,朋友比较喜欢吃,个人不喜欢吃,路过看到就想买",0.499,0.2143,0.875,0.7321428571428571,2
55,"来的新世纪百货公司地库有超市,里面有一当卖冰糖食品的,我有忍不住了。",0.1663,0.4286,0.375,0.125,2
60,"首先是位置,在崇文门的地下超市旁边,有点不好找,不是很显眼。",0.1848,0.2058,0.375,0.10714285714285715,2
63,"朋友千里迢迢的来买,找了好久没找到。",0.1109,0.2143,0.25,0.053571428571428575,2
64,"就在超市入口旁边,被这个柱子挡住了,一直没看到,还以为是搬走了呢。",0.1663,0.2143,0.375,0.10714285714285715,2
66,新世界百货地下一层超市结账门口的摊位。,0.0185,0.2143,0.125,0.0,2
80,"位置就在新世界超市一层,旁边有个美甲店,离电梯也很近。",0.0924,0.2143,0.25,0.125,2
84,发现这里有卖烤红薯的#点评有礼#店在崇文门一期新世界地下一层超市入口处．,0.0111,0.2143,0.125,0.0,2
89,"不错,推荐,就是位置有点儿不太好找．",0.1663,0.2143,0.375,0.3035714285714286,2
