id,lng,lat,t,c,name,q
1,116.501339,39.802573,饮品,饮品店,蜜雪冰城,139
2,116.501777,39.805145,面食,粉面馆,小满手工粉,748
3,116.501954,39.805408,饮品,饮品店,Salud欧洲冻酸奶,306
4,116.501981,39.804452,饮品,饮品店,CoCo都可,616
5,116.501406,39.804601,北京美食,西餐,Taco Bell 塔可钟,572
6,116.497509,39.807102,北京美食,湘菜,湘聚匯,443
7,116.496373,39.804696,北京美食,日本菜,几味久居酒屋,804
8,116.496777,39.804857,北京美食,其他美食,顺泰驴肉火烧,44
9,116.50149,39.804718,饮品,饮品店,茶百道,374
10,116.496933,39.804949,面食,面馆,晋宝莱手擀面,95
11,116.501436,39.804914,北京美食,自助餐,好伦哥比萨烤肉自助,1051
12,116.50165,39.804892,北京美食,小吃快餐,志廷园·炸货铺,80
13,116.501089,39.802457,面食,粉面馆,李先生牛肉面大王,945
14,116.50243,39.805545,北京美食,烧烤烤串,管氏翅吧,2825
15,116.502562,39.805422,北京美食,东南亚菜,兰纳泰餐厅,1233
16,116.502068,39.804933,北京美食,自助餐,火炉火,1336
17,116.50251,39.805184,北京美食,火锅,成谊功夫牛腩火锅,809
18,116.502308,39.805326,北京美食,小吃快餐,周黑鸭,21
19,116.501815,39.804855,北京美食,日本菜,池田寿司,191
20,116.501913,39.804937,北京美食,小吃快餐,海盗虾饭·剥好的小龙虾饭,253
21,116.501408,39.804852,面食,面馆,和府捞面,1075
22,116.501861,39.803764,北京美食,日本菜,河风精致寿司,435
23,116.501839,39.803798,北京美食,西餐,Tubestation站点比萨,648
24,116.500355,39.8031,北京美食,小吃快餐,张亮麻辣烫,91
25,116.501741,39.801431,北京美食,小吃快餐,鲜滋味花甲粉,22
26,116.500986,39.802146,面食,面馆,黔城什锦贵州牛羊肉粉面馆,28
27,116.501377,39.801306,面食,面馆,穆澜香牛肉拉面,32
28,116.501822,39.801115,北京美食,小吃快餐,秦三姐肉夹馍,49
29,116.501268,39.801446,北京美食,小吃快餐,小谷姐姐麻辣拌·麻辣烫,159
30,116.50149,39.80104,北京美食,小吃快餐,太太好粥,13
31,116.500438,39.802814,北京美食,酒吧,厨享Greenandsprout,64
32,116.501318,39.80128,北京美食,小吃快餐,古月缘饺子馆,7
33,116.502087,39.804504,北京美食,小吃快餐,王记烤炉鸡蛋灌饼,24
34,116.49749,39.801893,北京美食,小吃快餐,天天街边麻辣烫,190
35,116.501437,39.804252,饮品,饮品店,蜜雪冰城,121
36,116.501218,39.804643,北京美食,小吃快餐,犟骨头排骨饭,549
37,116.501828,39.801362,北京美食,小吃快餐,虞美人铁锅焖面,13
38,116.500913,39.802432,北京美食,东北菜,金手勺东北菜,35
39,116.491802,39.800284,北京美食,小吃快餐,袁记云饺,99
40,116.511035,39.794599,北京美食,小吃快餐,满座儿美食公园,2
41,116.480411,39.802009,北京美食,小吃快餐,南城香,346
42,116.49127,39.800928,甜品,面包甜点,雨妈烘焙,77
43,116.479572,39.800912,面食,面馆,兰鼎香牛肉拉面,181
44,116.488825,39.805206,北京美食,东北菜,山河屯铁锅炖,1085
45,116.492345,39.800194,北京美食,小吃快餐,哈哈镜,31
46,116.479126,39.801492,北京美食,小吃快餐,第1佳大鸡排,93
47,116.508664,39.795909,北京美食,烧烤烤串,丰大国际·悦享露天音乐餐厅,382
48,116.503197,39.798065,饮品,饮品店,茉酸奶,145
49,116.480626,39.801481,北京美食,小吃快餐,永和大王,625
50,116.495155,39.799819,北京美食,小吃快餐,民月水饺,23
51,116.49559,39.799948,北京美食,小吃快餐,杭州小吃,59
52,116.495843,39.799903,甜品,面包甜点,半甜CAKE DIY创意蛋糕,183
53,116.487522,39.795705,饮品,饮品店,港式饮,25
54,116.495209,39.799539,饮品,茶馆,竹溪涧,71
55,116.479518,39.800624,北京美食,本帮江浙菜,江仙雅居小馆,1012
56,116.480725,39.801283,北京美食,小吃快餐,永顺炸鸡店,262
57,116.491859,39.800215,北京美食,川菜,晋香源刀削面川湘菜,52
58,116.491869,39.802959,北京美食,小吃快餐,老街称盘麻辣烫,450
59,116.504034,39.804299,饮品,咖啡厅,乡情书斋咖啡,3
60,116.493614,39.805214,北京美食,小吃快餐,久久丫鸭脖,32
61,116.497529,39.802415,北京美食,小吃快餐,拌将干拌麻辣烫,20
