id,lng,lat,t,c,name,q
1,116.417601,39.889813,饮品,咖啡厅,入巷,1093
2,116.418218,39.891171,北京美食,小吃快餐,于老三酱肉,14
3,116.420866,39.886089,北京美食,东南亚菜,爱在咖喱印度餐厅(红桥市场店),766
4,116.422852,39.885023,饮品,茶馆,大吉岭红茶屋,26
5,116.420427,39.886670,北京美食,小吃快餐,尹三豆汁(红桥市场店),1131
6,116.420583,39.879574,北京美食,小吃快餐,江川右·一家有态度的粥店(天坛店),115
7,116.421090,39.886235,饮品,咖啡厅,库迪咖啡(北京天雅珠宝城店),117
8,116.420963,39.887205,北京美食,小吃快餐,老北京花市大爷灌肠(北京街店),2043
9,116.422923,39.886556,北京美食,小吃快餐,汇兴居老北京小吃店,4158
10,116.420667,39.886110,面食,面馆,渝味·重庆小面(红桥店),50
11,116.420058,39.887569,北京美食,新疆菜,克里木餐厅(东大地街),174
12,116.420907,39.887227,北京美食,小吃快餐,先金达餐厅(北京北京街店),2216
13,116.420293,39.887126,北京美食,北京菜,乐鸭宋·北京烤鸭(法华寺旗舰店),342
14,116.418181,39.894224,北京美食,小吃快餐,杭州小笼包(新成文化大厦店),29
15,116.421359,39.892685,北京美食,小吃快餐,凉皮先生(新裕商务大厦店),48
16,116.418193,39.893609,北京美食,西餐,必胜客(新成文化大厦店),367
17,116.418325,39.894618,甜品,面包甜点,爸爸糖手工吐司(崇文门店),700
18,116.419147,39.895873,甜品,面包甜点,臻佑福HappinessKitchen(崇文门店),16
19,116.414872,39.892659,北京美食,小吃快餐,张亮麻辣烫(珠市口东大街店),54
20,116.415018,39.892537,北京美食,东北菜,山河屯铁锅炖(珠市口店),1635
21,116.415760,39.892456,饮品,咖啡厅,瑞幸咖啡(丰泰中心店),43
22,116.414313,39.890566,北京美食,小吃快餐,炒肝赵(东晓市街店),248
23,116.424300,39.885735,北京美食,小吃快餐,张亮麻辣烫(天华公馆店),144
24,116.394985,39.883736,北京美食,小吃快餐,天桥郭记灌肠卤煮火烧,1271
25,116.394333,39.883685,北京美食,烧烤烤串,阿依舍餐厅·新疆特色烧烤,326
26,116.394212,39.883684,北京美食,其他美食,王胖子驴肉火烧(天桥店),90
27,116.393305,39.882609,面食,面馆,山城面馆(北京西城区),8402
28,116.393997,39.883185,北京美食,湘菜,湘土风情(天桥店),202
29,116.394134,39.883683,北京美食,小吃快餐,郭通天宫院小吃(天桥店),337
30,116.393519,39.883230,北京美食,小吃快餐,吃福记羊棒骨烩面(天桥店),213
31,116.392980,39.882271,北京美食,西餐,义利餐厅,1311
32,116.393291,39.882236,北京美食,家常菜,川湘家常菜(东经路店),163
33,116.397868,39.897641,甜品,面包甜点,叁贰玖号老奶油蛋糕,587
34,116.396059,39.896870,北京美食,小吃快餐,百年卤煮,23716
35,116.400117,39.899488,北京美食,北京菜,升旗宾馆天安荟餐厅,477
36,116.398159,39.897509,甜品,面包甜点,闫记仙豆糕(前门店),80
37,116.394997,39.883759,北京美食,小吃快餐,老天桥酱肉烧饼夹肘子(天桥店),919
38,116.398049,39.880505,北京美食,川菜,邢记麻辣香锅(天桥百货商场店),31
39,116.398067,39.880781,北京美食,小吃快餐,天桥小吃店,835
40,116.420584,39.886255,北京美食,韩国料理,朴叔料理(红桥市场店),16
41,116.420419,39.886448,面食,粉面馆,霸蛮湖南米粉(红桥市场店),165
42,116.424591,39.885205,面食,粉面馆,东方宫中国兰州牛肉拉面(天坛店),859
43,116.420335,39.887203,北京美食,家常菜,泉兴居餐厅(北京北京街店),64
44,116.397044,39.882386,饮品,咖啡厅,灯堂咖啡,232
45,116.405111,39.881002,甜品,面包甜点,天坛拾光,647
46,116.413166,39.896980,甜品,面包甜点,春种秋藏吐司店,410
47,116.417710,39.899924,北京美食,川菜,鱼你在一起(合景摩方店),275
48,116.416935,39.897904,北京美食,小吃快餐,临榆炸鸡腿(崇文门新世界店),119
49,116.415524,39.897465,北京美食,小吃快餐,一手店(新怡家园店),50
50,116.416930,39.897581,北京美食,东北菜,金手勺农家菜(新怡商务楼店),344
51,116.417891,39.898238,北京美食,烧烤烤串,老北京冰糖葫芦(新世界百货崇文店综合馆),465
