id,lng,lat,t,c,name,q,
1,116.399609,39.895224,景点,公园广场,阿里山广场,47,
2,116.410726,39.902768,景点,人文古迹,安亲王府,22,
3,116.407827,39.882116,景点,公园广场,百花园,61,
4,116.412620,39.901299,景点,人文古迹,北京东交民巷使馆建筑群,2435,
5,116.420483,39.902964,景点,人文古迹,北京基督教会崇文门堂,191,
6,116.422014,39.901119,景点,公园广场,北京明城墙遗址公园,4361,
7,116.412434,39.901866,景点,人文古迹,比利时使馆旧址,139,
8,116.420814,39.894030,景点,展览馆,曹雪芹故居纪念馆,343,
9,116.421172,39.897362,景点,人文古迹,花市火神庙,65,
10,116.423547,39.89701,景点,人文古迹,花市清真寺,63,
11,116.400057,39.883248,景点,公园广场,恐龙公园,22,
12,116.399990,39.883194,景点,自然景观,神奇的非洲,24,
13,116.400129,39.883691,景点,展览馆,生物标本馆,20,
14,116.395965,39.890302,景点,公园广场,天桥街道学雷锋志愿服务主题公园,23,
15,116.397788,39.883204,景点,公园广场,天桥市民广场,169,
16,116.409181,39.878247,景点,人文古迹,天坛公园-三座门,18,
17,116.406883,39.883629,景点,人文古迹,天坛公园-双环万寿亭,18,
18,116.406686,39.879763,景点,人文古迹,天坛公园-斋宫,383,
19,116.392206,39.876929,景点,展览馆,先农坛,44,
20,116.392379,39.877489,景点,展览馆,中国古代建筑展,18,
